date:2018/09/09---LINSSIDDATALOGVER hi 2.8
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:8E:88	1	AP		PSK	CCMP	CCMP	2412	22	-110	20	-89	-85	1	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:8B:48	1	AP	bgn	PSK	CCMP	CCMP	2412	26	-87	20	-89	-86	1	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:87:28	1	AP	bgn	PSK	CCMP	CCMP	2412	30	-85	20	-86	-81	1	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	6C:AA:B3:32:31:C8	1	AP		PSK	CCMP	CCMP	2412	44	-110	20	-82	-76	1	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"EACCESS"	6C:AA:B3:72:31:C8	1	AP	bgn	PSK	CCMP	CCMP	2412	46	-77	20	-81	-77	1	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:81:A8	4	AP	bgn	PSK	CCMP	CCMP	2427	40	-80	20	-81	-74	4	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"AndroidAP"	AC:C3:3A:7A:83:E8	6	AP	bgn	PSK	CCMP	CCMP	2437	66	-67	20	-72	-65	6	2018/09/09.15:54:43	2018/09/09.15:56:33	"Samsung Electronics Co.,Ltd"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:81:C8	4	AP		PSK	CCMP	CCMP	2427	28	-110	20	-86	-84	4	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:33	"<hidden>"	2C:E6:CC:1A:CB:D8	4	AP	bgn	PSK	TKIP	CCMP TKIP	2427	68	-66	20	-66	-64	4	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:54:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	40	-80	20	-80	-76	6	2018/09/09.15:54:43	2018/09/09.15:56:33	"Ruckus Wireless"
